volume_name,title,authors,year,pdf_link,url
Volume Name Not Found,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Authors Not Found,2022,https://aclanthology.org/2022.acl-long.0/,https://aclanthology.org/2022.acl-long.0/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),A,"Modarressi, Ali, Mohebbi, Hosein, Pilehvar, Mohammad Taher",2022,https://aclanthology.org/2022.acl-long.1/,https://aclanthology.org/2022.acl-long.1/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Quantified Reproducibility Assessment of NLP,"Belz, Anya, Popovic, Maja, Mille, Simon",2022,https://aclanthology.org/2022.acl-long.2/,https://aclanthology.org/2022.acl-long.2/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Rare Tokens Degenerate All Tokens: Improving Neural Text Generation via Adaptive Gradient Gating for Rare Token Embeddings,"Yu, Sangwon, Song, Jongyoon, Kim, Heeseung, Lee, Seongmin, Ryu, Woo-Jong, Yoon, Sungroh",2022,https://aclanthology.org/2022.acl-long.3/,https://aclanthology.org/2022.acl-long.3/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),A,"Seker, Amit, Bandel, Elron, Bareket, Dan, Brusilovsky, Idan, Greenfeld, Refael, Tsarfaty, Reut",2022,https://aclanthology.org/2022.acl-long.4/,https://aclanthology.org/2022.acl-long.4/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Learning to Imagine: Integrating Counterfactual Thinking in Neural Discrete Reasoning,"Li, Moxin, Feng, Fuli, Zhang, Hanwang, He, Xiangnan, Zhu, Fengbin, Chua, Tat-Seng",2022,https://aclanthology.org/2022.acl-long.5/,https://aclanthology.org/2022.acl-long.5/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Domain Adaptation in Multilingual and Multi-Domain Monolingual Settings for Complex Word Identification,"Zaharia, George-Eduard, Sm{\u{a}}du, R{\u{a}}zvan-Alexandru, Cercel, Dumitru, Dascalu, Mihai",2022,https://aclanthology.org/2022.acl-long.6/,https://aclanthology.org/2022.acl-long.6/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),J,"Liang, Bin, Zhu, Qinglin, Li, Xiang, Yang, Min, Gui, Lin, He, Yulan, Xu, Ruifeng",2022,https://aclanthology.org/2022.acl-long.7/,https://aclanthology.org/2022.acl-long.7/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),[CASPI,"Ramachandran, Govardana Sachithanandam, Hashimoto, Kazuma, Xiong, Caiming",2022,https://aclanthology.org/2022.acl-long.8/,https://aclanthology.org/2022.acl-long.8/
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),U,"Ma, Zhiyuan, Li, Jianjun, Li, Guohui, Cheng, Yongjing",2022,https://aclanthology.org/2022.acl-long.9/,https://aclanthology.org/2022.acl-long.9/
