volume_name,title,authors,year,pdf_link,url
Volume Name Not Found,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Authors Not Found,2020,https://aclanthology.org/2020.acl-main.0/,https://aclanthology.org/2020.acl-main.0/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Learning to Understand Child-directed and Adult-directed Speech,"Gelderloos, Lieke, Chrupa{\l}a, Grzegorz, Alishahi, Afra",2020,https://aclanthology.org/2020.acl-main.1/,https://aclanthology.org/2020.acl-main.1/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,"Rinaldi, Alex, Fox Tree, Jean, Chaturvedi, Snigdha",2020,https://aclanthology.org/2020.acl-main.2/,https://aclanthology.org/2020.acl-main.2/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,C,"Liu, Zihan, Winata, Genta Indra, Xu, Peng, Fung, Pascale",2020,https://aclanthology.org/2020.acl-main.3/,https://aclanthology.org/2020.acl-main.3/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Designing Precise and Robust Dialogue Response Evaluators,"Zhao, Tianyu, Lala, Divesh, Kawahara, Tatsuya",2020,https://aclanthology.org/2020.acl-main.4/,https://aclanthology.org/2020.acl-main.4/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Dialogue State Tracking with Explicit Slot Connection Modeling,"Ouyang, Yawen, Chen, Moxin, Dai, Xinyu, Zhao, Yinggong, Huang, Shujian, Chen, Jiajun",2020,https://aclanthology.org/2020.acl-main.5/,https://aclanthology.org/2020.acl-main.5/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,"Lin, Xiexiong, Jian, Weiyu, He, Jianshan, Wang, Taifeng, Chu, Wei",2020,https://aclanthology.org/2020.acl-main.6/,https://aclanthology.org/2020.acl-main.6/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Guiding Variational Response Generator to Exploit Persona,"Wu, Bowen, Li, MengYuan, Wang, Zongsheng, Chen, Yifu, Wong, Derek F., Feng, Qihang, Huang, Junhong, Wang, Baoxun",2020,https://aclanthology.org/2020.acl-main.7/,https://aclanthology.org/2020.acl-main.7/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Large Scale Multi-Actor Generative Dialog Modeling,"Boyd, Alex, Puri, Raul, Shoeybi, Mohammad, Patwary, Mostofa, Catanzaro, Bryan",2020,https://aclanthology.org/2020.acl-main.8/,https://aclanthology.org/2020.acl-main.8/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,PLATO,"Bao, Siqi, He, Huang, Wang, Fan, Wu, Hua, Wang, Haifeng",2020,https://aclanthology.org/2020.acl-main.9/,https://aclanthology.org/2020.acl-main.9/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Slot-consistent NLG,"Li, Yangming, Yao, Kaisheng, Qin, Libo, Che, Wanxiang, Li, Xiaolong, Liu, Ting",2020,https://aclanthology.org/2020.acl-main.10/,https://aclanthology.org/2020.acl-main.10/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,S,"Coope, Samuel, Farghly, Tyler, Gerz, Daniela, Vuli{\'c}, Ivan, Henderson, Matthew",2020,https://aclanthology.org/2020.acl-main.11/,https://aclanthology.org/2020.acl-main.11/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking,"Campagna, Giovanni, Foryciarz, Agata, Moradshahi, Mehrad, Lam, Monica",2020,https://aclanthology.org/2020.acl-main.12/,https://aclanthology.org/2020.acl-main.12/
